"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
"Portugal","182","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.4724745155121","27.2711557342805","23.1632068198223","28.2988215922816","26.9184807759714","26.0498418548792","28.806607128878","28.1681698679897","29.4271802510986","32.4947666144415","33.5146623448906","32.8872947105582","33.3882224620493","35.9526418274415","38.5539171390744","40.1402931828723","40.6802820787722","46.2924424650187","48.8633473736592","50.267263924238","59.4731509841057","55.9489141082125","52.6981279776791","55.1016562199519","53.4301673837582","54.8198718633305","56.1464547106338","59.6889266336055","61.5722516096836","62.6096966256454","59.5258932983824","60.224131801888","61.8261499836789","58.8457176944602","63.1349303454271","60.6070132662049","60.2780566418664","58.2045514977139","58.5010087981858","60.2178400758595","65.0038141628784","63.1367650245947","65.7651868020987","61.6767260438941","58.189361708555","57.8638859038356","64.1159238936385","62.1857471974352","56.2730285463504","58.9916096453945","63.2140861664061","61.9380333872128","51.9748992167262","52.4026727553997","55.1689802566252","54.9387742124533","51.8646336082693","50.6608516087701","49.9855739055431","52.6771863361789","52.4119335760453","50.1973048818209","49.1928654932558","51.9463089652462","55.7129095897892","52.7184581946282","55.817567791043","51.7650222047024","47.2805589328414","45.0407817419229","66.8505380107426","59.0466967463583","67.7345088679082","60.0025363628141","56.5013128456943","56.6839045799939","55.2101631575824","47.4524703424379","42.533895183486","42.9242576527822","45.170377636942","45.7532785652261","33.6241128327064","31.8189465197786","31.2123290460545","30.4866084175495","29.3763151303971","28.1352060568904","27.6390531149952","23.6411581558176","20.6062056838671","21.8595233133712","21.8405075086819","24.1630345256972","24.5960978891315","22.3227019785422","19.8476913309356","19.4030869999035","19.0934848237686","18.7544821442222","17.3757461864896","17.1627448055181","17.0510531919789","16.8472307546466","16.1521093136194","15.1539017641472","14.2954230366781","16.8944477038723","16.5004146599411","16.4402413279463","17.1372401706462","18.7238253142253","20.8225890196312","21.9316918941895","20.3809615476227","20.2471514139864","18.4868453136033","17.1726828588963","16.8111200357489","16.4672133009941","15.7248308750539","14.5065316549699","13.5829636681967","13.5038251401281","19.1667501320296","24.5259382117236","26.8756607793361","29.8913266186709","33.5185413305552","29.5519254475551","37.4116668501774","40.9172180066186","44.4451667866091","48.7945862531642","56.5330810557192","56.8917138087162","54.4615910576945","54.0748256015656","52.6901890061813","53.3217649719751","55.6933031961991","50.022870194011","54.6264525832607","57.3930293196161","59.0965333360204","58.2075061818455","54.3413030088219","50.2724764782359","49.4322500830093","48.358602161787","51.0680351463798","53.6799241291215","55.7001604646317","57.4594653966984","62.5329460043517","61.618800425216","68.4390825930903","71.6663332178859","83.609401088177","96.1833185365076","111.389678797878","126.209890062282","129.00084417095","130.165394937574","128.97682231548",
"Qatar","453","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.7181248133771","17.6452745849298","16.6229519977005","37.5332053742802","44.1658681965503","42.3242995071231","49.5461062590975","48.0218947573193","63.3667934637021","74.3990911307663","52.5429632150481","59.0870764411028","47.5923046365133","39.0877527053687","29.0349300505575","19.1710619343455","13.4308008176489","8.92750765116215","11.0957338119037","35.9723028433702","41.842259845913","35.5688120924906","36.5630944984474","32.5992402675852","31.6763380484276","39.7600435218704",
"Romania","968","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.02666","2.69522","11.0975","11.6796","14.4377","18.6408","20.9683","23.7352","23.2511","25.1578","23.7217","27.192395324152","27.3183515691542","24.023513655338","20.9811471547866","17.5450137836639","12.5363288005365","12.6516438780953","13.387073367523","23.3475566615242","30.5353382991082","33.8743140118196","37.6304845764959","38.8260679952812","40.4954092214626","39.3041252479721",
"Russia","922","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80.6554247534203","87.1452702702703","78.4675072744908","73.1916578669483","77.7598118477142","74.9558823529412","80.5902038332826","75.714475608135","74.2004264392324","78.1690975927902","85.631067961165","78.9473684210526","69.134321849106","59.8079161816065","55.764579414136","56.6593687283342","56.4618086040386","52.4057422306357","55.5220883534137","53.3081855903433","62.2153455526462","68.0069378744875","64.7735708982925","58.7637763909175","56.0384376937384","52.4877935363869","52.82774075603","45.1869611794113","48.7910786539031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116","92.4","63.5","53.7","51.9","54.7","73.1","88.7","55.7122837414325","44.3139425978729","37.4721450545673","28.2549958426697","20.7696783838296","14.8091201957035","9.77649767991868","8.01024550009798","7.42542891479877","9.89047094854029","10.5597839084988","10.9132451451554","11.7610407773257","13.0755160405933","15.8939509988441","16.423031942607",
"Rwanda","714","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.45295","6.36802","8.68999","10.0614","9.58759","8.51935","10.0664","11.2767","13.2605","12.4258","12.8327","12.3916","14.2068","16.1124","18.5527","20.2825","23.1158","28.9559","30.0141","28.5349","36.72","49.8284","52.029","56.2752","99.2985","119.511808759649","98.9830612092653","85.6741678080115","83.1503613966429","92.9571551058458","102.512450906982","98.6459144999391","107.90063247384","100.616723149902","90.8055181746916","70.6652813953861","26.5773035885201","26.709372166122","20.9038724485949","22.3661269878905","22.5565192836897","23.061182631757","21.461119345233","28.6843823863927","31.1269149297379","37.2938942262645",
"Samoa","862","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.66345","7.77326","14.0736","21.1479","24.3767","27.9511","36.2327","46.2051","53.2621","58.737","67.034","87.7751","76.1212","73.6848","75.6763","77.5206","72.0433","72.779","65.3892","64.2837","62.985","79.6397","75.3192","87.2916","121.735","84.6827","76.7757",,"72.8136","77.2354","65.5278479441742","62.3828713675779","58.1652012433514","50.0521295831682","47.4554587180734","40.0246388318265","39.339167550432","36.092521373916","28.9059000830587","35.8989157398232","49.8671635878368","49.1473696495321","52.0618601441696","53.5393035101829","54.4036467695625","57.7801266329389",
"San Marino","135","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.4980702675742","13.5533682844666","13.2774373030881","11.4386798577316","13.5328634721724","17.457481616641","17.5379355929604","14.6573481798463","15.3679425931499","20.8307636451805","19.0314245562152","19.8810030578544",
"São Tomé and Príncipe","716","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.024","176.022","252.014","345.013","385.582","376.038","388.401","356.051250102679","317.112670278688","336.54869563627","284.253421662607","256.763679782364","101.36368251901","56.8553509938445","68.0265231851124","75.2596786637413","71.7386040386853","78.2942736051642","71.4202913649585","68.8846133470784","82.2641097699643",
"Saudi Arabia","456","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.8888009049774","56.8384265279584","69.547656602073","77.765","83.8880300814707","75.6444372219627","77.1549533744833","102.210312451985","102.991787626975","86.7017724012641","93.1477989006172","96.351696772755","81.5642311053814","62.9282022815161","37.3424359335585","25.8308411362682","17.1154305724822","12.0559945858256","13.9890376456109","8.4483105769161","5.39700796657996","3.58968118901319","2.15449914094678","1.56710495184185","5.00720987015802",
"Senegal","722","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.0071","18.6993","17.5901","19.449","23.4046","18.4478","23.3935","27.2672","33.331","33.8806","38.6251","47.4479","58.4989","72.8742","75.849","82.3539","74.9064","78.1446","78.514","66.5942","63.1014","63.9288","61.7062","65.8274","94.4176","80.402","77.2426","84.0358","83.2941","77.4764",,"70.9305330768962","67.9753711820631","54.7006338264124","47.5907965307087","45.6640385708981","21.8381870765705","23.4851622814188","23.9365164794407","34.1589973745678","35.5152233628316","40.6895652701835","42.8161295177291","46.9352001949688","54.2447646630236","56.8291160673469",
